"COUNTRY","CODE","Domestic_2000","Domestic_yr_2000","Industry_2000","Industry_yr_2000","Agricultur_2000","Agricultur_yr_2000","withdrawal_2000","withdrawal_yr_2000","Resources_2000","Resources_yr_2000","Domestic_2010","Domestic_yr_2010","Industry_2010","Industry_yr_2010","Agricultur_2010","Agricultur_yr_2010","withdrawal_2010","withdrawal_yr_2010","Resources_2010","Resources_yr_2010","Domestic_2021","Domestic_yr_2021","Industry_2021","Industry_yr_2021","Agricultur_2021","Agricultur_yr_2021","withdrawal_2021","withdrawal_yr_2021","Resources_2021","Resources_yr_2021"
"Algeria","ALG",1.721,2000,0.5,2000,3.429090909,2000,5.650090909,2000,11.667,2000,2.8035,2010,0.429166667,2010,4.719454546,2010,7.952121212,2010,11.667,2010,3.283,2021,0.206,2021,7.132,2021,10.621,2021,11.667,2021
"Angola","ANG",0.246,2000,0.1845,2000,0.21,2000,0.6405,2000,148.4,2000,0.3195,2010,0.2396,2010,0.1467,2010,0.7058,2010,148.4,2010,0.3195,2021,0.2396,2021,0.1467,2021,0.7058,2021,148.4,2021
"Benin","BEN",0.039857143,2000,0.0290625,2000,0.064428571,2000,0.133348214,2000,26.39,2000,0.119428571,2010,0.03,2010,0.059,2010,0.208428571,2010,26.39,2010,0.145,2021,0.03,2021,0.059,2021,0.234,2021,26.39,2021
"Botswana","BOT",0.079,2000,0.035,2000,0.08,2000,0.194,2000,12.24,2000,0.089966667,2010,0.033566667,2010,0.074818182,2010,0.198351515,2010,12.24,2010,0.128071636,2021,0.027550337,2021,0.077999538,2021,0.233621511,2021,12.24,2021
"Burkina Faso","BUF",0.2789,2000,0.0161,2000,0.407622222,2000,0.702622222,2000,13.5,2000,0.3756,2010,0.0217,2010,0.4207,2010,0.818,2010,13.5,2010,0.3756,2021,0.0217,2021,0.4207,2021,0.818,2021,13.5,2021
"Burundi","BUR",0.049,2000,0.017,2000,0.222,2000,0.288,2000,12.536,2000,0.0431,2010,0.015,2010,0.222,2010,0.2801,2010,12.536,2010,0.0431,2021,0.015,2021,0.222,2021,0.2801,2021,12.536,2021
"Cameroon","CAM",0.1611,2000,0.0683,2000,0.737,2000,0.9664,2000,283.15,2000,0.2468,2010,0.1046,2010,0.737,2010,1.0884,2010,283.15,2010,0.2468,2021,0.1046,2021,0.737,2021,1.0884,2021,283.15,2021
"Cabo Verde","CAP",0.0016,2001,4e-04,2001,0.02,2000,0.02325,2001,0.3,2000,0.08084491,2010,0.001760535,2010,0.050809592,2010,0.133415037,2010,0.3,2010,0.14202642,2021,0.00565432,2021,0.10926951,2021,0.25695025,2021,0.3,2021
"Central African Republic","CAR",0.0548,2000,0.011,2000,4e-04,2000,0.0662,2000,141,2000,0.0601,2010,0.012,2010,4e-04,2010,0.0725,2010,141,2010,0.0601,2021,0.012,2021,4e-04,2021,0.0725,2021,141,2021
"Chad","CHA",0.0885,2000,0.0885,2000,0.602306667,2000,0.779306667,2000,45.7,2000,0.1037,2010,0.1037,2010,0.6722,2010,0.8796,2010,45.7,2010,0.1037,2021,0.1037,2021,0.6722,2021,0.8796,2021,45.7,2021
