"COUNTRY","CODE","Domestic_2000","Domestic_yr_2000","Industry_2000","Industry_yr_2000","Agricultur_2000","Agricultur_yr_2000","withdrawal_2000","withdrawal_yr_2000","Resources_2000","Resources_yr_2000","Domestic_2010","Domestic_yr_2010","Industry_2010","Industry_yr_2010","Agricultur_2010","Agricultur_yr_2010","withdrawal_2010","withdrawal_yr_2010","Resources_2010","Resources_yr_2010","Domestic_2021","Domestic_yr_2021","Industry_2021","Industry_yr_2021","Agricultur_2021","Agricultur_yr_2021","withdrawal_2021","withdrawal_yr_2021","Resources_2021","Resources_yr_2021","F1_2000","F2_2000","F1_2010","F2_2010","F1_2021","F2_2021"
"Algeria","ALG",1.721,2000,0.5,2000,3.429090909,2000,5.650090909,2000,11.667,2000,2.8035,2010,0.429166667,2010,4.719454546,2010,7.952121212,2010,11.667,2010,3.283,2021,0.206,2021,7.132,2021,10.621,2021,11.667,2021,0.147157902876861,-0.0611880733508956,0.179115037664154,-0.0630858512937211,0.153259012393677,-0.0610965249363369
"Angola","ANG",0.246,2000,0.1845,2000,0.21,2000,0.6405,2000,148.4,2000,0.3195,2010,0.2396,2010,0.1467,2010,0.7058,2010,148.4,2010,0.3195,2021,0.2396,2021,0.1467,2021,0.7058,2021,148.4,2021,-0.04447619410845,0.0231700831246229,-0.0315021946694232,0.0270183170527934,-0.0515477711436933,0.0228751228366117
"Benin","BEN",0.039857143,2000,0.0290625,2000,0.064428571,2000,0.133348214,2000,26.39,2000,0.119428571,2010,0.03,2010,0.059,2010,0.208428571,2010,26.39,2010,0.145,2021,0.03,2021,0.059,2021,0.234,2021,26.39,2021,-0.0828476003023296,-0.0572850825991537,-0.0832564420226662,-0.0556878218077191,-0.0766337618978692,-0.057457989404073
"Botswana","BOT",0.079,2000,0.035,2000,0.08,2000,0.194,2000,12.24,2000,0.089966667,2010,0.033566667,2010,0.074818182,2010,0.198351515,2010,12.24,2010,0.128071636,2021,0.027550337,2021,0.077999538,2021,0.233621511,2021,12.24,2021,-0.0786805329701546,-0.0663469053133821,-0.0841550462462141,-0.0647974577412064,-0.0773052682358319,-0.0667039319002665
"Burkina Faso","BUF",0.2789,2000,0.0161,2000,0.407622222,2000,0.702622222,2000,13.5,2000,0.3756,2010,0.0217,2010,0.4207,2010,0.818,2010,13.5,2010,0.3756,2021,0.0217,2021,0.4207,2021,0.818,2021,13.5,2021,-0.0623987318182611,-0.0651282736603179,-0.0676541261454552,-0.0645954814153813,-0.062782394933719,-0.0654189395795496
"Burundi","BUR",0.049,2000,0.017,2000,0.222,2000,0.288,2000,12.536,2000,0.0431,2010,0.015,2010,0.222,2010,0.2801,2010,12.536,2010,0.0431,2021,0.015,2021,0.222,2021,0.2801,2021,12.536,2021,-0.0822219340371979,-0.0663614870849203,-0.0890802457024327,-0.0650722291432501,-0.0811471739124313,-0.0667964519150132
"Cameroon","CAM",0.1611,2000,0.0683,2000,0.737,2000,0.9664,2000,283.15,2000,0.2468,2010,0.1046,2010,0.737,2010,1.0884,2010,283.15,2010,0.2468,2021,0.1046,2021,0.737,2021,1.0884,2021,283.15,2021,-0.0632861940223852,0.109844153959347,-0.0557190657554445,0.111311205423858,-0.0626138595342972,0.109625217427638
"Cabo Verde","CAP",0.0016,2001,4e-04,2001,0.02,2000,0.02325,2001,0.3,2000,0.08084491,2010,0.001760535,2010,0.050809592,2010,0.133415037,2010,0.3,2010,0.14202642,2021,0.00565432,2021,0.10926951,2021,0.25695025,2021,0.3,2021,-0.0900824575427645,-0.0744495177104754,-0.0908847308035306,-0.0730836971003341,-0.0780196946930884,-0.0745081273471212
"Central African Republic","CAR",0.0548,2000,0.011,2000,4e-04,2000,0.0662,2000,141,2000,0.0601,2010,0.012,2010,4e-04,2010,0.0725,2010,141,2010,0.0601,2021,0.012,2021,4e-04,2021,0.0725,2021,141,2021,-0.0855555250885395,0.0171823258772264,-0.0900066920926832,0.0182986883443397,-0.0841783832698262,0.0167530742899744
"Chad","CHA",0.0885,2000,0.0885,2000,0.602306667,2000,0.779306667,2000,45.7,2000,0.1037,2010,0.1037,2010,0.6722,2010,0.8796,2010,45.7,2010,0.1037,2021,0.1037,2021,0.6722,2021,0.8796,2021,45.7,2021,-0.0658626264675876,-0.0445388339846097,-0.0652686902211858,-0.0424258689610426,-0.0672110085400143,-0.0449517020965786
"Comoros","COM",0.0048,2000,5e-04,2000,0.0047,2000,0.01,2000,1.2,2000,0.0048,2010,5e-04,2010,0.0047,2010,0.01,2010,1.2,2010,0.0048,2021,5e-04,2021,0.0047,2021,0.01,2021,1.2,2021,-0.0899645279683852,-0.0738498092523873,-0.0957351388208764,-0.0724613390361691,-0.0860172576191005,-0.074234669892872
"Congo","CNG",0.03104,2000,0.010106667,2000,0.004,2000,0.0452,2000,832,2000,0.0637,2010,0.024,2010,0.004,2010,0.0917,2010,832,2010,0.0637,2021,0.024,2021,0.004,2021,0.0917,2021,832,2021,-0.0923033939161474,0.466122921189479,-0.0849886892455356,0.466132142826408,-0.0915901087268889,0.46569206803568
"Cote d'Ivoire","CDI",0.5392,2000,0.2696,2000,0.6,2000,1.4088,2000,84.14,2000,0.4604,2010,0.275777778,2010,0.596866667,2010,1.333044444,2010,84.14,2010,0.32,2021,0.242,2021,0.6,2021,1.162,2021,84.14,2021,-0.00536785565749468,-0.0175207778902079,-0.0134451829969149,-0.0144167982954653,-0.0464320074895894,-0.0189945449500643
